id,parent,label,value,color
wr_en_data_arb_35,u_gpio_en_gpio_en_11_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_12_1,i_reg_file_1,Gpio En Gpio En 12,76.3232,blue
wr_en_data_arb_36,u_gpio_en_gpio_en_12_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_13_1,i_reg_file_1,Gpio En Gpio En 13,76.3232,blue
wr_en_data_arb_37,u_gpio_en_gpio_en_13_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_14_1,i_reg_file_1,Gpio En Gpio En 14,76.3232,blue
wr_en_data_arb_38,u_gpio_en_gpio_en_14_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_15_1,i_reg_file_1,Gpio En Gpio En 15,76.3232,blue
wr_en_data_arb_39,u_gpio_en_gpio_en_15_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_16_1,i_reg_file_1,Gpio En Gpio En 16,76.3232,blue
wr_en_data_arb_40,u_gpio_en_gpio_en_16_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_17_1,i_reg_file_1,Gpio En Gpio En 17,76.3232,blue
wr_en_data_arb_41,u_gpio_en_gpio_en_17_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_18_1,i_reg_file_1,Gpio En Gpio En 18,76.3232,blue
wr_en_data_arb_42,u_gpio_en_gpio_en_18_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_19_1,i_reg_file_1,Gpio En Gpio En 19,76.3232,blue
wr_en_data_arb_43,u_gpio_en_gpio_en_19_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_2_1,i_reg_file_1,Gpio En Gpio En 2,76.3232,blue
wr_en_data_arb_44,u_gpio_en_gpio_en_2_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_20_1,i_reg_file_1,Gpio En Gpio En 20,76.3232,blue
wr_en_data_arb_45,u_gpio_en_gpio_en_20_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_21_1,i_reg_file_1,Gpio En Gpio En 21,76.3232,blue
wr_en_data_arb_46,u_gpio_en_gpio_en_21_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_22_1,i_reg_file_1,Gpio En Gpio En 22,76.3232,blue
wr_en_data_arb_47,u_gpio_en_gpio_en_22_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_23_1,i_reg_file_1,Gpio En Gpio En 23,76.3232,blue
